variable,coef,HR,CI_lower,CI_upper,p_value,n_samples,n_events,plot_order
UNI,-0.06113056609467442,0.9407004081788087,0.5099289058973855,1.735373789784437,0.8448754736316846,55,14,0
PLIP,0.020590782082067754,1.0208042347707158,0.5886719793531828,1.770156083988903,0.941556938439681,55,14,1
Virchow,-0.3321211840575931,0.7174003800975327,0.4314544676125853,1.192856590898056,0.20047510842099509,55,14,2
SQUALL,0.1784381783215736,1.1953489825087635,0.7473175686284724,1.9119839409196215,0.4565246752219553,55,14,3
