gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,feature_type,gene_transform,q_value
PTK2B,0.012189688307516787,-4.407164905338686,0.004316646084724483,0.0005909930204076661,0.2514217527170039,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
MBTD1,0.039729618346437505,-3.2256583153825518,0.015608771045908092,0.002907808026058339,0.542829017530855,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
ZNF426,0.3744182164175872,-0.9823818806008101,0.2578094573011921,0.06829490380048801,2.052700757802743,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.3548057906528883
B3GNT8,0.2579566733178925,-1.3549636410392096,0.12252650330758653,0.04620444490229539,1.440156795519216,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.2206735561940823
PLG,1.2043480201956194,0.18593835843738818,0.718964640838532,0.4374398199464608,3.3157798801367293,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.7576299709337084
CFAP418,0.037983975915169076,-3.270590894633401,0.006186521497259164,0.003653622370953753,0.39489095473967,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
KBTBD2,0.3734279176233043,-0.985030284672287,0.17479263684494645,0.09001466188205008,1.5491743983130477,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.2741872799780173
ARHGEF12,0.0769451923755129,-2.564661897900328,0.015751150979711054,0.009596025044680353,0.6169807396435267,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
ZNHIT1,0.22412193475542108,-1.4955650236459757,0.10671699200381225,0.03641805846830626,1.379278406129962,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.20440487282312902
UQCR10,0.9065394106976801,-0.09812077405915455,0.8323974353929351,0.36536663630128213,2.249285023579514,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.8560568256161496
TCEA2,0.03768169373177712,-3.278580879865501,0.012313628190288459,0.0028919246819428123,0.4909913634201385,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
TP53,0.2854508132888,-1.2536855474296673,0.1244406716196627,0.05767126654247345,1.4128728514610962,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.2227424506925961
CCDC28A,0.2258739952959313,-1.487777978133068,0.06349480194207327,0.04692808897228905,1.0871753542121236,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.15986001584670748
TOR4A,0.7157200494545161,-0.33446618086090385,0.525986490688692,0.2545627566903601,2.0122943192914176,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.5901006671437322
CCDC154,0.8009446367831674,-0.22196345192652156,0.6360332668358322,0.31942894786631293,2.0083098776013406,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.6858808634009049
NSMCE2,0.0679739246914242,-2.68863110776601,0.049907417826542504,0.004625479195492397,0.9989136784915423,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1474130901723678
CALCRL,0.15799687940789753,-1.8451799967331426,0.2831087469554243,0.005437220114947662,4.591135428563389,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.37809572620929
SYN3,0.3674658426548409,-1.0011249098058101,0.29932890931082556,0.05548230476640187,2.4337695790857334,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.392815341838818
OR2B11,0.8773633492328476,-0.13083406313885626,0.6636203118269441,0.48653982431017595,1.5821242334447485,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.7104207110877516
SOHLH1,0.4011159214925124,-0.9135048124227283,0.3159384629162575,0.06728133844290816,2.3913612035425635,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.4074578366153374
KRT4,0.9155508630345727,-0.08822935875428992,0.753829476787601,0.5274699370025188,1.58915859274715,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.7877541071228621
TAF1B,0.6173647041803738,-0.4822953370283781,0.4640556699371141,0.16976549445532943,2.2450921442579133,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.5380999913293691
CDH24,0.9374490727947301,-0.06459284496537145,0.8580266780110765,0.4619486830623369,1.9023991112127698,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.8781883465657032
RCAN3,0.07132038775981529,-2.640573049100473,0.02089734530141615,0.007588061657988269,0.6703421689853476,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
FLOT1,0.04673480012212537,-3.0632662071915413,0.007862772453018679,0.00488226447432999,0.4473623979075298,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
NDUFS8,0.12723336730423063,-2.0617323409022634,0.03892001921352832,0.01797874560511969,0.9004148627011787,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1374058941823778
MYL3,0.03840846741567285,-3.2594773380797655,0.016513035522972955,0.002673812185829525,0.5517255015288717,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
TAAR2,0.7363330733605062,-0.30607271729423974,0.6913490577884748,0.16250614608012395,3.3364054714410774,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.7337301981355606
NRM,0.23799315449902614,-1.435513368333448,0.04073303455011512,0.0601747314514209,0.941271198428587,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.13897439278241694
EIF4A1,0.5570739153119773,-0.5850573453240875,0.5033944318372895,0.10039032602689545,3.0912475275543523,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.5709840474571743
RGS3,0.5246245965854556,-0.6450723262865894,0.1942338683715438,0.1980953456940255,1.3893863400888218,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.29350752598802393
ATL2,0.12217056427949048,-2.102337142771151,0.03050816639562631,0.018188705948283913,0.8205997072473056,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.13033150574414104
SHISAL2A,0.05877942344951173,-2.8339634266561475,0.012720577833579702,0.006324452563807332,0.546295602061893,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
NKAPD1,0.03683206732968155,-3.3013864184230077,0.005283969417050968,0.0036200443007386265,0.3747471221557695,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
DBP,0.0391886768893208,-3.2393674287765872,0.006908293160508184,0.0037358059751612487,0.4110899780520051,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
KPRP,0.11498262437368861,-2.1629742544372017,0.027775366284865658,0.01674655147835086,0.7894762049937412,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.12881779744934133
SCLT1,0.0646284051987309,-2.7391012558785532,0.014091203184917245,0.007255891251500656,0.5756468245947732,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
ZNF341,0.6456695162830478,-0.43746749080480046,0.5350610769736048,0.1620682668742511,2.572305685113851,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.5978562186398022
KMT5C,0.022210289852943585,-3.8071995906006895,0.011324318152456922,0.0011666115775776176,0.42284594532831843,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
KCNG2,0.09605511307911759,-2.3428331576694057,0.0499431361046033,0.009231952823869505,0.9994185330742205,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1474130901723678
HYDIN,0.3942381493269292,-0.9308001123683685,0.30542944188019716,0.06647810206925725,2.33796864752247,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.3985044890348659
NTNG1,0.5543583081282469,-0.5899440357231163,0.5027217785851458,0.09874946206078353,3.1120486874313404,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.5704576259610917
ZNF22,0.2287901930766725,-1.474949882822245,0.014567946465458063,0.07006754800719593,0.7470641393457251,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
IRAK4,0.47211940634384336,-0.7505233458484692,0.14150318759538022,0.1735906137363623,1.2840367866028952,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.2400023752448281
UBE4A,0.26206145862141955,-1.3391762278385138,0.17076711513199255,0.03856530920597104,1.7807768045628145,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.26982230056149054
PTP4A3,0.6099958789364742,-0.4943030776794465,0.4751059698019584,0.15710889499726563,2.368388959300858,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.547801749197554
DSC3,0.127692045401201,-2.058133809182175,0.031457740821961816,0.019579437447281498,0.8327746138082365,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.13081203704777153
TMEM40,0.5138275662380266,-0.6658675440561292,0.233801474585738,0.17170176824365985,1.5376589916734453,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.3330973265776404
ADAMTS14,0.16385720719851796,-1.808759918240654,0.036994101421842444,0.02994557078950361,0.8965995184940374,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.13632464946848022
C3orf38,0.028314643825689392,-3.5643761584928577,0.004796546416039674,0.002378329860200232,0.33709329744031125,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
UNC5C,0.6071729912365683,-0.4989415347257097,0.3799334034765792,0.19934720701541897,1.8493313591228147,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.464786367046309
GRB2,0.07631777732782093,-2.5728493753293336,0.01754615299734371,0.009131406349539135,0.6378429470015664,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
C1orf159,0.27120418934793095,-1.304883275587084,0.0713208966118893,0.06567554463774575,1.1199254262079767,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1675465309104792
SERPINB12,1.0229426827511006,0.022683456808529637,0.9836495651706927,0.11686839570615302,8.953761415747111,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.9857448523497684
HSPA2,0.47881673751886655,-0.7364373486852764,0.18960667917390223,0.1593268110560085,1.4389635153597407,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.28881284676038094
NTM,0.040273599805617157,-3.212059116367836,0.0063675340535648,0.004007421698199809,0.40473974626419157,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
ZNF569,0.05346078503903958,-2.928806883773129,0.02372664260198199,0.004223579010901143,0.6766904394622896,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.12849272339890774
TAOK2,0.030239959421569363,-3.498591069551025,0.008181514474705791,0.002261840825070252,0.4042968610710079,256,age+stage_num+tumor_fraction,pseudobulk_mean,log1p,0.1283990270955332
