gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_scaled
ARRB1,0.9496359891635743,-0.05167653711716558,0.8149469564819212,0.6160518069620413,1.463851743835963,256,age+stage+tumor_fraction,zscore
IL3,0.9111125731185435,-0.0930888184249955,0.5146459101020693,0.688607298959281,1.205514554012563,256,age+stage+tumor_fraction,zscore
CSF2,0.8970221251381901,-0.10867475152163683,0.6170994419699709,0.5858441782029067,1.373485856692674,256,age+stage+tumor_fraction,zscore
TM4SF5,0.7015241979915473,-0.35449988539228516,0.040872466816783186,0.49942967334196187,0.9853963964025737,256,age+stage+tumor_fraction,zscore
CXCL16,1.3291934643136503,0.2845723404787282,0.05338944814366478,0.9958534434532759,1.7741117201418977,256,age+stage+tumor_fraction,zscore
PELP1,1.4245832397771212,0.35387930763057734,0.02225456794965443,1.0517659424727812,1.92955231301987,256,age+stage+tumor_fraction,zscore
MED11,0.786788590633126,-0.2397956935470478,0.27943165198844355,0.5094977006721605,1.2149932875728198,256,age+stage+tumor_fraction,zscore
ALOX15,1.1623752049259566,0.15046550211555848,0.4846769227662261,0.7621944886523229,1.7726658184260042,256,age+stage+tumor_fraction,zscore
HEATR9,0.7401402588953031,-0.3009155716964707,0.03834870983298775,0.5567255958008384,0.9839813491053815,256,age+stage+tumor_fraction,zscore
NATD1,1.0063141644087894,0.006294313589768016,0.9648636224201156,0.7605161282368831,1.3315538749157694,256,age+stage+tumor_fraction,zscore
MAP2K3,1.2793010488780432,0.24631387322486173,0.1397485523055095,0.9225604956885407,1.77398791874239,256,age+stage+tumor_fraction,zscore
YWHAH,1.169089859653963,0.15622554835856878,0.44804296805016963,0.7808559663209952,1.7503498198077019,256,age+stage+tumor_fraction,zscore
HOXB1,0.863510037841191,-0.14674975686402156,0.537074720798995,0.5418683315709181,1.3760715325267294,256,age+stage+tumor_fraction,zscore
SART3,1.1822025804718825,0.1673792921767552,0.3212414680960514,0.8492907003781447,1.645611968495709,256,age+stage+tumor_fraction,zscore
E2F2,0.8725657521313216,-0.13631726713605832,0.31837967523822863,0.6675872896742641,1.1404815573465974,256,age+stage+tumor_fraction,zscore
NARS2,0.9285786994225635,-0.07410014203700119,0.6031059878264202,0.702276391501973,1.227804909085965,256,age+stage+tumor_fraction,zscore
SLC35B4,1.4280500255518154,0.35630989520282025,0.03848110974845458,1.0190700410249554,2.001164584749676,256,age+stage+tumor_fraction,zscore
DNAH1,1.3491576881162608,0.29948046299336684,0.11014171418146497,0.9343188860714285,1.9481854584539113,256,age+stage+tumor_fraction,zscore
DALRD3,0.7670683015927846,-0.265179431263087,0.04811780912269279,0.5896870110206333,0.9978069184363486,256,age+stage+tumor_fraction,zscore
FIS1,1.2399925573745547,0.21510537748163805,0.16461062982294794,0.9155211131757429,1.679460495466624,256,age+stage+tumor_fraction,zscore
PLOD1,0.8521048175055369,-0.16004573447856513,0.41982957667131804,0.5775930032760557,1.2570834755578217,256,age+stage+tumor_fraction,zscore
RAB3D,1.3857696364387917,0.32625567947809914,0.02382816139352742,1.0442506389876651,1.8389813839495144,256,age+stage+tumor_fraction,zscore
MFSD3,1.4449935594813337,0.368104864448119,0.009412927909400175,1.0944597427917462,1.9077964271362333,256,age+stage+tumor_fraction,zscore
SLC25A22,1.3532819937183778,0.3025327485498801,0.05961864412135176,0.9878103345719046,1.8539714461643735,256,age+stage+tumor_fraction,zscore
ATP6AP1,1.3998611705478066,0.336373067809725,0.03397438714116749,1.0257739901958147,1.9103733527435183,256,age+stage+tumor_fraction,zscore
DNASE1L1,0.6316970997214055,-0.45934527231581135,0.0013278868494995281,0.4771984758369643,0.8362164717658664,256,age+stage+tumor_fraction,zscore
ALDH3A1,0.8934982046501291,-0.11261095372979997,0.5655295993644965,0.6085381278407305,1.311896502764325,256,age+stage+tumor_fraction,zscore
SCRN1,1.472362944841358,0.38686855570330203,0.010171308908736078,1.0961724869194687,1.9776564976869184,256,age+stage+tumor_fraction,zscore
C6orf62,1.3059770851135948,0.2669514848454812,0.04532075729025792,1.0055769568995034,1.6961169755725176,256,age+stage+tumor_fraction,zscore
ISYNA1,1.304294502387559,0.2656622833944628,0.08278771852131926,0.9660958976023915,1.7608853874447907,256,age+stage+tumor_fraction,zscore
HARS2,0.8452800352450478,-0.16808730386983292,0.2059781213312375,0.6514337876307784,1.0968088415899528,256,age+stage+tumor_fraction,zscore
CACNG2,1.1485832557550852,0.1385292313817485,0.32626355640552107,0.8710521285970734,1.5145402348373116,256,age+stage+tumor_fraction,zscore
TMEM160,1.2223540408743787,0.20077854127107453,0.20364127036332078,0.8969321223717837,1.6658444535255352,256,age+stage+tumor_fraction,zscore
RAB5C,0.8807681900030001,-0.1269608091179686,0.6634701144336881,0.4971634676833838,1.5603572163817865,256,age+stage+tumor_fraction,zscore
STYXL1,0.8023515363033799,-0.22020844258396838,0.28929433242814107,0.5339221280481562,1.2057338589089723,256,age+stage+tumor_fraction,zscore
MDH2,0.8614508141404265,-0.14913731792270524,0.4550848649095067,0.5824806090995638,1.2740295446579515,256,age+stage+tumor_fraction,zscore
HM13,1.035909085755788,0.03527938492460985,0.8358269122529542,0.742016926807097,1.4462037120487006,256,age+stage+tumor_fraction,zscore
RNF145,0.8091442839628681,-0.21177802929326078,0.38858493966466845,0.4999725337190599,1.3095008787776203,256,age+stage+tumor_fraction,zscore
SCN1B,1.2542406922164928,0.22653036335926824,0.148929438158776,0.9221134217087376,1.7059937280780615,256,age+stage+tumor_fraction,zscore
ATP6V1E1,0.9549040722650752,-0.04614439143660754,0.7426932171500784,0.724960921511004,1.2577806060606862,256,age+stage+tumor_fraction,zscore
CHTF18,0.9879051370856093,-0.01216860093955071,0.9430959935502247,0.7073002622881632,1.3798334482767651,256,age+stage+tumor_fraction,zscore
LHX9,1.2171622141438274,0.19652209529874443,0.237277015957001,0.8786262494612174,1.6861365756463178,256,age+stage+tumor_fraction,zscore
ETNPPL,1.319280604294277,0.2770865912868121,0.08155948800629592,0.965873832133208,1.8019965496146013,256,age+stage+tumor_fraction,zscore
PPP1R12C,1.061653509499182,0.05982760734281763,0.6491056215116779,0.820465240584758,1.3737427479909112,256,age+stage+tumor_fraction,zscore
AHR,1.4975231679901075,0.4038125219997158,0.005573271726717504,1.1255613854944764,1.9924063383552642,256,age+stage+tumor_fraction,zscore
MAP1S,0.7369328715587952,-0.3052584743077703,0.23556128744557767,0.44501029228590605,1.2203539257356883,256,age+stage+tumor_fraction,zscore
DPEP1,0.8305409335742431,-0.1856780632755521,0.4497527147857264,0.5131604337527494,1.3442155649021323,256,age+stage+tumor_fraction,zscore
TMEM129,1.557442359655154,0.44304496274755706,0.0015472686084205955,1.1838147347096273,2.0489918164797856,256,age+stage+tumor_fraction,zscore
NOP9,1.0622163335134798,0.060357605948263365,0.721737533038336,0.7619961052206018,1.4807208743621734,256,age+stage+tumor_fraction,zscore
HSD17B1,1.3335154308841473,0.287818636289626,0.08520003909546886,0.9608751123910031,1.8506706870377503,256,age+stage+tumor_fraction,zscore
ATP6V0A1,1.5227653458362802,0.4205279883958953,0.0038833882754027056,1.1446308150821376,2.0258185153904753,256,age+stage+tumor_fraction,zscore
PSMC3IP,1.2404743610891986,0.2154938557291138,0.20803551419405977,0.8869357624630582,1.734935838246512,256,age+stage+tumor_fraction,zscore
GRB7,1.1081849441441745,0.10272349149361372,0.5670140095369254,0.7795954983572732,1.5752706025311414,256,age+stage+tumor_fraction,zscore
