gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,gene_scaled
OSTN,0.8855317291560878,-0.12156699049144168,0.4559344199221602,0.6432968681713929,1.2189806637349372,256,age+stage+tumor_fraction,zscore
PPP6R1,0.8592688818353063,-0.1516733887071287,0.35578777587596855,0.6227559418979186,1.1856057270851794,256,age+stage+tumor_fraction,zscore
CDC42SE2,0.8915818435389101,-0.11475804158657472,0.49126352768596626,0.6430477761360925,1.2361728214110295,256,age+stage+tumor_fraction,zscore
LTN1,0.6274709606688061,-0.46605788686568506,0.00303134200332052,0.46107925038928116,0.8539091840507325,256,age+stage+tumor_fraction,zscore
DOC2A,0.8487415380434867,-0.16400057006351218,0.3106858325039328,0.6181245155358007,1.1653998187986465,256,age+stage+tumor_fraction,zscore
TBC1D30,0.8527945882136675,-0.15923657149399018,0.3244814044068731,0.6212672953926522,1.1706050118522302,256,age+stage+tumor_fraction,zscore
SLC39A1,0.7620912819871309,-0.2716889378360253,0.07014490075619956,0.567945438898226,1.0226037261738854,256,age+stage+tumor_fraction,zscore
LRRC15,0.7524632328570215,-0.2844031435434636,0.103726885374423,0.5341925143317857,1.0599192268912514,256,age+stage+tumor_fraction,zscore
ANKRD44,1.2322495529503472,0.20884140381192473,0.14940119425659673,0.9276651533627092,1.6368394945548135,256,age+stage+tumor_fraction,zscore
CX3CR1,0.7320505914903046,-0.31190565335129883,0.04136476766562154,0.5424846417690137,0.9878585073925218,256,age+stage+tumor_fraction,zscore
IMMT,0.7286873262899519,-0.3165105466762332,0.022316199833684238,0.5554342572836685,0.9559821212547515,256,age+stage+tumor_fraction,zscore
CEMIP,0.8664632504202604,-0.14333558224316903,0.3893681861694679,0.6251825876305074,1.2008628825928738,256,age+stage+tumor_fraction,zscore
ZDHHC19,0.7893402191635656,-0.23655784808191063,0.13577370373310155,0.5784685998416578,1.0770817668577573,256,age+stage+tumor_fraction,zscore
TMEM106C,0.6690970764002154,-0.40182612265409184,0.004239487146643853,0.5080270533863639,0.8812343647117522,256,age+stage+tumor_fraction,zscore
IL1RAPL1,0.8647478465159367,-0.14531732146465046,0.3389902339871169,0.6419838181427592,1.1648094810509113,256,age+stage+tumor_fraction,zscore
MPP3,0.7954397309440178,-0.22886019655836737,0.1560972693314023,0.5797721901901042,1.0913327273542124,256,age+stage+tumor_fraction,zscore
ACTN2,0.8325577856232558,-0.18325264737638366,0.27609633107097475,0.5986799259129704,1.1578014167501285,256,age+stage+tumor_fraction,zscore
RNASE9,0.8797139337666616,-0.1281584996234596,0.418960015612457,0.6447161935560539,1.2003678719385678,256,age+stage+tumor_fraction,zscore
NRROS,0.7630982243041887,-0.2703685216396059,0.0714145322820059,0.5687570788360408,1.0238446633981584,256,age+stage+tumor_fraction,zscore
TRPM3,1.1104938978083871,0.10480486934254886,0.5030761143626028,0.8171442604822104,1.509154205332036,256,age+stage+tumor_fraction,zscore
ACOT4,0.9494994087247387,-0.05182037145275106,0.7551312328197777,0.6855888325037894,1.3149997264047402,256,age+stage+tumor_fraction,zscore
RFT1,0.8119411727611213,-0.20832738878341478,0.17626153284869292,0.60034219087219,1.098121168307253,256,age+stage+tumor_fraction,zscore
MOGAT2,0.73484146604105,-0.3081004954954213,0.06648594301205211,0.5287926897622302,1.0211789812301775,256,age+stage+tumor_fraction,zscore
EZR,0.7756930968254867,-0.25399833080879974,0.06391810639309765,0.5929205836466346,1.0148066993425742,256,age+stage+tumor_fraction,zscore
REXO4,0.741353573444977,-0.2992776103436032,0.04250416464261332,0.5551946188967085,0.9899323627304256,256,age+stage+tumor_fraction,zscore
CCDC171,0.7801742457340785,-0.24823799228000235,0.07710877329019966,0.5924590839222512,1.0273652142813878,256,age+stage+tumor_fraction,zscore
TCHH,0.735941338228686,-0.30660486692338634,0.03552020622027056,0.5529760863069924,0.9794449827494836,256,age+stage+tumor_fraction,zscore
OR2T6,0.7471123239683821,-0.2915397383950586,0.04808117402524631,0.5595522413403458,0.9975419333293809,256,age+stage+tumor_fraction,zscore
SMIM30,0.7427917205724628,-0.2973395958063324,0.08518654859191337,0.5294610722372848,1.0420776315425329,256,age+stage+tumor_fraction,zscore
