gene,HR,coef,p_value,CI_lower,CI_upper,n_samples
GNAI3,3.3874881645747488,1.2200886923472432,0.301460114539636,0.33482079040064705,34.272292504306286,265
CDC45,3.094910472221062,1.1297589791337066,0.35280798494522514,0.2855448594849183,33.54453954570142,265
SCML2,4.398984741330175,1.4813737736927275,0.22689755845734189,0.39797693232590986,48.62358891346193,265
APOH,5.2841925299211825,1.6647198223931825,0.14277595746749308,0.5702767893031386,48.96340025936444,265
NARF,2.925691865870727,1.0735309880541661,0.30399597559098934,0.3777824440591441,22.657677794794687,265
CAV2,2.7684085524363486,1.018272625287384,0.38314355475409145,0.2807891106607807,27.294811736704577,265
KLF6,0.09868852006036341,-2.3157866507525546,0.022408293376061855,0.01352018318863826,0.7203618365089397,265
SCMH1,2.8963855882597795,1.0634636107777726,0.39579418718520976,0.2487892813061861,33.71949720596889,265
TBX2,1.5356180470057617,0.4289329364886801,0.7022854550355904,0.17025314822643436,13.850685352105899,265
TBX4,4.777337114189077,1.5638833021898044,0.22289883044378636,0.3863943536531613,59.066468458529684,265
NGFR,1.9874175046242364,0.6868360595776035,0.5958771604519333,0.1570025989222044,25.157725826207407,265
WNT3,2.0810238531539915,0.732860009697555,0.5148714805577248,0.22931902227578674,18.884871540171176,265
WNT9A,3.5617645157095352,1.27025607255002,0.3116927843353625,0.30401893834276666,41.72821119145065,265
FER,3.689097526750347,1.3053818554432737,0.27757535523665555,0.3495931685125863,38.929366439795146,265
XPO6,1.7123861060293994,0.5378877815144384,0.6206653432757451,0.20345936246235682,14.412048384674586,265
TFE3,2.2372316589358583,0.8052392350076055,0.4750616724169797,0.24552600594385632,20.385642964800308,265
AXIN2,2.217882738235363,0.7965530192868505,0.5144807683330261,0.2022193923706381,24.325084666195558,265
BRAT1,2.4423751046667106,0.8929709694070174,0.4821848716672611,0.20242901590392298,29.468088481578807,265
GNA12,0.9536438374783047,-0.0474650132176961,0.9623053179635359,0.13320110271432,6.827545344807244,265
SLC22A18,0.40949039372976453,-0.8928418344995422,0.3321292514638557,0.06739325868193789,2.4881180378639005,265
PIH1D2,0.9090288367439835,-0.0953784617170997,0.9337325968601772,0.09598187999212077,8.609264853949037,265
DLAT,15.383970330731648,2.7333260797050327,0.01597258888145371,1.6652741248552616,142.11866959585498,265
FGF23,4.353525867029427,1.4709860609317797,0.1726001357653186,0.5257817374934466,36.04763369159539,265
FGF6,4.010352132826858,1.3888790511356162,0.185136657312283,0.514060287977034,31.28606625607976,265
CCND2,0.38691482672475863,-0.949550696157365,0.31152095198824453,0.06151325102739191,2.43367210542631,265
GPR107,3.16345972541196,1.1516662785017797,0.3274875191503537,0.3155191220067886,31.717498992305757,265
NALCN,0.22921471104148997,-1.4730961119015822,0.13848801665557658,0.03264660604017219,1.60933677740293,265
BTBD17,0.6947006268976496,-0.3642742788831769,0.7229188383022319,0.092741938085331,5.203783433638655,265
TH,0.9598556074032543,-0.040972414787759884,0.966953873580083,0.1381611365921463,6.668465603198014,265
SCNN1G,1.0808757379635627,0.07777158104466828,0.9591284527450079,0.05520959082837663,21.161040018391102,265
DRP2,3.1237840412119184,1.13904510065448,0.31348526762980894,0.341002621289466,28.615694211473514,265
TSPAN32,3.5885220021437667,1.2777404191618689,0.27947883913282845,0.354203830543807,36.35615724454243,265
LHX2,1.9646300090587996,0.6753039370370141,0.554834810306208,0.20887468638849194,18.478883866834305,265
GMPR,0.2441062383471122,-1.4101517453874082,0.15284857066504334,0.03531204602479701,1.6874653923517502,265
GLRA1,1.102420657534189,0.0975083597938063,0.9297906534715223,0.12598894998473187,9.64633252603022,265
MID2,1.5135414472862774,0.4144522341633294,0.6917771871175196,0.195042132902512,11.745194120690092,265
TRIM25,6.557816267364108,1.8806576614645854,0.0869262471723329,0.7614018553201108,56.48128369535564,265
DGKE,3.4003317325529574,1.2238729952605578,0.3037829611684587,0.3299766434554677,35.03961907827272,265
SCPEP1,0.12270742292553542,-2.0979524325544823,0.023647042275093604,0.01993819468239349,0.7551893178333977,265
HDDC2,0.4158435093486955,-0.8774462689443638,0.3455600052453277,0.06715821314815915,2.574902102977982,265
TPD52L1,1.2978424937447088,0.26070326557589707,0.79214468401442,0.18669818523319484,9.022022021615241,265
PEMT,5.716002541684337,1.7432697047288825,0.09317326414110778,0.7468799270262442,43.74556588584516,265
CDH1,0.07072560981747009,-2.648947539456704,0.0047221129034534974,0.011259925626357132,0.44424022414003556,265
CDH4,0.07442189818601415,-2.598005049992623,0.0044948132814752705,0.012397973925035813,0.44673581047182714,265
BCL6B,0.2147962336697164,-1.5380654506272395,0.18166332046272504,0.022481632541535436,2.0522273866657708,265
ALOX12,0.3337376733697618,-1.0974000036733047,0.24344737701988844,0.052791843985450775,2.109811406795298,265
COMT,0.6489598153382358,-0.4323844820097709,0.6469163347489375,0.10202611527296107,4.127853352027507,265
RTCA,2.688869513916588,0.9891208502322499,0.39428717609895425,0.2761996324170654,26.176788142688746,265
DBT,4.112695366710399,1.4140786205462117,0.23023531370481648,0.40819252756598773,41.43697406765207,265
DAZAP2,0.546325549365741,-0.6045402366606171,0.49592170611742403,0.09588069337239492,3.112947929261761,265
MCTS1,3.550246133520503,1.2670169344699336,0.2896712005882451,0.34017824563917265,37.05189197179475,265
REM1,1.1951678139333322,0.17828660559382883,0.8643718346471729,0.15451754667133144,9.244426501933352,265
RNF17,5.577666431081248,1.718770486607055,0.13485529583700295,0.5861275476978204,53.07780352349121,265
TRAPPC10,3.7714198170251794,1.3274515398509394,0.24781224985828582,0.396996615087693,35.828032017624054,265
CCM2,1.552032697049038,0.4395654892253423,0.6543314868208074,0.22660221547258386,10.630105657553678,265
TBRG4,0.9571820914410407,-0.04376163244069962,0.964656075970125,0.13815174998020127,6.631820127553554,265
TMPRSS2,1.5501772515282317,0.4383692802176921,0.6597735364407957,0.22017581159357633,10.914230286074405,265
FAP,4.854645460358366,1.579936073403945,0.17276783226040304,0.5008890313620187,47.051504565178966,265
GCG,0.3850799082008839,-0.9543044124621268,0.34816790277827747,0.05244342867558161,2.827552268127072,265
NDUFA9,1.6230843837056896,0.48432827960584235,0.6451431759531057,0.20660133758254293,12.75114163080751,265
EGFL6,7.462289362051729,2.009862252129631,0.06277809004882265,0.8983879532024986,61.98409309083721,265
LCK,1.7034538351748734,0.5326578577662743,0.6526776791749858,0.1674473707722384,17.32935521883438,265
TSSK3,1.1240615902120408,0.11694854553259126,0.9133229325842523,0.1368493692990617,9.23288477734099,265
CTTNBP2,1.9915411137537709,0.6889087680429702,0.5860657138695824,0.16685099314279095,23.77112615911916,265
GALNT1,7.06739200768082,1.9554915303388087,0.12430525431205816,0.5837940709540368,85.55761744651774,265
MYF5,8.51273224139484,2.1415629534993426,0.05310412094544505,0.9717387259937661,74.57417130265542,265
MKRN2,3.5473283749130387,1.266194749716998,0.2783037444002603,0.35955001206414433,34.99802023986096,265
PPARG,1.7744870516120845,0.5735113961558893,0.6565593304404815,0.14165610159809003,22.228511591211298,265
RAF1,0.42916323953544955,-0.8459179206927072,0.429677454619262,0.052586624388671295,3.5024321927809403,265
SEPTIN1,3.888769277451285,1.3580927264533686,0.27609206099865335,0.3376095641008212,44.792944576454325,265
PDGFB,3.3783060746684392,1.2173744225309109,0.3312801016651646,0.2898087667124133,39.38097547431035,265
ACVRL1,1.2732779737740128,0.24159465691155413,0.8165130712706399,0.16544049996851368,9.799515830806882,265
TAMALIN,2.1429920934068543,0.7622030269871324,0.4973890438931454,0.23711374192441148,19.36798380023158,265
ACVR1B,2.247012213325899,0.8096014285804538,0.499333225051218,0.21452660358494147,23.535840322184498,265
TOM1L2,3.8947656098372883,1.3596335003200246,0.27051621130903203,0.3468647706398267,43.732314260655876,265
GPA33,6.06513638942906,1.802557030095193,0.10393974861701546,0.690620516763768,53.26496756099048,265
ZNF385A,0.2612275492479374,-1.3423634152888793,0.12651631369439792,0.046689840531812354,1.4615563409257741,265
ITGA5,1.713572972969999,0.5385806485106357,0.6621701726705039,0.15298347202814397,19.193788026676838,265
