gene,HR,coef,p_value,CI_lower,CI_upper,n_samples,covariates,feature_type,gene_transform,q_value
ZHX1,1.4024127935876114,0.3381941772213339,0.06768756636567672,0.9757033190815828,2.0157373713451094,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.3378178923892844
TBC1D31,1.040311156971081,0.03951985780032955,0.8751404112592223,0.6354486908029674,1.7031230357103369,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.9407614064379621
DERL1,1.2506763420775062,0.22368447864864122,0.21508942977409592,0.8781281616320701,1.7812790671981176,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.5220106362193769
HAS2,0.9009684009278719,-0.10428509310104486,0.6834120939563656,0.5458097022036809,1.4872290767151048,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8428459799941019
MTBP,1.0929819537348235,0.08890969829398336,0.6787326869452226,0.7176226083935894,1.6646765823949525,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8410833584723003
COL14A1,1.19043952116315,0.17432258444742563,0.3793534515913538,0.8070764186442129,1.755900954122508,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6469826103176709
SLA,0.8726069729644351,-0.13627002730411672,0.551961991049522,0.5569470657199195,1.367172889728578,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.7650839718269634
DNAAF11,1.073748431733456,0.07115573376434749,0.7141008870885764,0.7337979520865952,1.57118957796437,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.8586937524147983
ADCY8,0.820805166875434,-0.1974695096592339,0.40191980205024336,0.5172577031116304,1.3024863968512266,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.6630077806643304
ASAP1,1.316196034541858,0.27474578422715146,0.09589970072987336,0.9525048991449915,1.8187539013172132,256,age+stage_num+tumor_fraction,within_tumor_rank_mean,zscore,0.3897236259719768
